Pneumomediastinum	HP:0025421
Cupped metaphysis of hand bones	None
Fragmentation of the end part of the innermost bone of the pinky toe	None
Fragmentation of the end part of the innermost bone of the pinkie toe	None
Fragmentation of the epiphysis of the proximal phalanx of the 5th toe	None
Fragmentation of the end part of the innermost bone of the little toe	None
Proximally placed carpal bones	None
Hand deformities	None
Abnormality of the hand	None
Abnormal hands	None
Hand anomalies	None
Patchy sclerosis of the proximal phalanx of the 3rd finger	None
Uneven increase in bone density in the innermost bone of the middle finger	None
Pseudoepiphysis of the fingers	None
Pseudoepiphyses of the phalanges of the hand	None
Abnormality of the plantar skin of foot	None
Minor feet anomalies	None
Smaller or shorter than typical limbs	None
Micromelia	None
Complete duplication of the middle phalanx of the 3rd toe	None
Complete duplication of the middle bone of the 3rd toe	None
Complete duplication of the middle phalanx of the third toe	None
Cone-shaped epiphysis of the 1st metatarsal	None
Cone-shaped end part of the 1st long bone of foot	None
Absent/small big toe bone	None
Aplasia/Hypoplasia of the phalanges of the hallux	None
Absent/underdeveloped big toe bone	None
Absent bones of the upper limbs	None
Aplasia involving bones of the upper limbs	None
Slender middle phalanx of finger	None
Slender middle bone of finger	None
Abnormality of upper limb bone	None
Abnormal upper limb bone morphology	None
Abnormal morphology of bones of the upper limbs	None
Abnormal shape of bones of the upper limbs	None
Pseudoepiphysis of the distal phalanx of the 5th finger	None
Partial duplication of the little finger bone	None
Partial duplication of the phalanges of the 5th finger	None
Partial duplication of the pinky finger bone	None
Partial duplication of the pinkie finger bone	None
Irregular epiphysis of the proximal phalanx of the 4th toe	None
Irregular end part of the innermost bone of the 4th toe	None
Rounded end part of bone	None
Rounded epiphyses	None
Hypoplastic thumb	None
Small thumbs	None
Hypoplastic/small thumb	None
Short thumbs	None
Thumb hypoplasia	None
Thumb brachydactyly	None
Short thumb	None
Hypoplastic thumbs	None
Wide wrist bones	None
Wide carpal bones	None
Broad carpal bones	None
Delayed maturation of wrist bone	None
Delayed maturation of carpal bones	None
Delayed carpal ossification	None
Carpal delayed ossification	None
Delayed ossification of carpal bones	None
Delayed carpal bone age	None
Amyotrophy of hand muscles	None
Amyotrophy involving the musculature of the hand	None
Hand muscle atrophy	None
Hand muscle wasting	None
Hand muscle wasting, bilateral	None
Hand muscle degeneration	None
Webbed 3rd-5th toes	None
3-5 toe syndactyly	None
Growth arrest lines	None
Harris lines	None
Growth resumption lines	None
Long foot	None
Disproportionately large feet	None
large feet	None
long feet	None
Abnormality of the innermost end part of calf bone	None
Abnormality of the proximal fibular epiphysis	None
Fragmentation of the end part of the 4th toe bone	None
Fragmentation of the epiphyses of the 4th toe	None
Epiphyseal stippling of the metacarpals	None
Speckled calcifications in end part of the long bone of hand	None
Stippling of the epiphyses of the metacarpals	None
Cone-shaped end part of the innermost bone of pinkie finger	None
Angel-shaped epiphysis of the proximal phalanx of the 5th finger	None
Cone-shaped epiphysis of the proximal phalanx of the little finger	None
Cone-shaped end part of the innermost bone of little finger	None
Cone-shaped end part of the innermost bone of pinky finger	None
Cone-shaped epiphysis of the proximal phalanx of the 5th finger	None
Partial duplication of middle finger bones	None
Partial duplication of the phalanges of the 3rd finger	None
Speckled calcifications in end part of the outermost bone of the index finger	None
Stippling of the epiphysis of the distal phalanx of the 2nd finger	None
Osteoporotic humerus	None
Ivory epiphysis of the proximal phalanx of the hallux	None
Increased bone density of end part of the innermost bone of the big toe	None
Abnormality of the phalanges of the 4th toe	None
Medially deviated halluces	None
Hallux varus	None
Wide space between first and second toes	None
Widely spaced first and second toes	None
Gap between 1st and 2nd toes	None
Wide-spaced big toe	None
Sandal gap	None
Increased space between first and second toes	None
Widened gap first and second toe	None
Widely spaced 1st-2nd toes	None
Sandal gap between first and second toes	None
Space between great toe and second toe	None
Gap between first and second toe	None
Wide space between 1st, 2nd toes	None
Widened gap 1st-2nd toes	None
Triangular shaped little finger bones	None
Triangular shaped pinky finger bones	None
Triangular shaped phalanges of the 5th finger	None
Triangular shaped pinkie finger bones	None
Absent end part of the 2nd toe bone	None
Absent epiphyses of the 2nd toe	None
Cone-shaped end part of the ring finger bones	None
Cone-shaped epiphyses of the 4th finger	None
Ulnar deviation of the hands	None
Ulnar deviation of hands	None
Ulnar deviation of the hand	None
Abnormality of the proximal radial epiphysis	None
Metaphyseal chondrodysplasia	None
Absent/underdeveloped 3rd toe	None
Aplasia/Hypoplasia of the 3rd toe	None
Absent/small 3rd toe	None
Absent/hypoplastic third toe	None
Increased bone density in the middle bone of the 4th toe	None
Sclerosis of the middle phalanx of the 4th toe	None
Small proximal tibial epiphyses	None
Small end part of innermost shankbone	None
Small end part of innermost shinbone	None
Dislocated hip since birth	None
Congenital dislocation of the hip	None
Congenital dislocation of the hips	None
Congenital hip dislocation	None
Congenital hip anomaly	None
Congenital hip dislocations	None
Small end part of the outermost bone of the 2nd toe	None
Small epiphysis of the distal phalanx of the 2nd toe	None
Absent wrist bone	None
Missing wrist bone	None
Carpal bone aplasia	None
Absent carpal bones	None
Absent carpal ossification center	None
Absent carpal bone	None
Aplastic carpal bone	None
Absent/small pinky finger bones	None
Absent/underdeveloped pinky finger bones	None
Aplasia/Hypoplasia of the phalanges of the 5th finger	None
Absent/small pinkie finger bones	None
Absent/small little finger bones	None
High axial triradius	None
Increased size of upper limb	None
Hypertrophy of the upper limb	None
Synostosis involving bones of the toes	None
Fusion involving bones of the toes	None
Triangular epiphyses of the middle phalanges of the hand	None
Triangular end part of the middle hand bones	None
Complete duplication of the innermost bone of big toe	None
Complete duplication of the proximal phalanx of the hallux	None
Pseudoepiphysis of the proximal phalanx of the 5th finger	None
Internal notch of the femoral head	None
Abnormality of the innermost bone of the little toe	None
Abnormality of the innermost bone of the pinkie toe	None
Abnormality of the proximal phalanx of the 5th toe	None
Abnormality of the innermost bone of the pinky toe	None
Absent proximal radial epiphyses	None
Broad proximal phalanx of the thumb	None
Broad innermost thumb bone	None
Absent of the outermost bone of the middle finger	None
Aplasia of the distal phalanx of the 3rd finger	None
Partial duplication of the 1st metatarsal	None
Partial duplication of the 1st long bone of foot	None
Aplastic/hypoplastic metacarpals	None
Hypoplastic/absent metacarpals	None
Hypoplastic metacarpals	None
Absent/underdeveloped long bones of hand	None
Absent or hypoplastic metacarpals	None
Hypoplastic/absent metacarpal bones	None
Metacarpal aplasia/hypoplasia	None
Absent/small long bones of hand	None
Aplasia/Hypoplasia involving the metacarpal bones	None
Protrusio acetabulae	None
Protrusio acetabuli	None
Pseudoepiphysis of the distal phalanx of the 4th finger	None
Displaced hand or fingers of the hand	None
Deviation of the hand or of fingers of the hand	None
Fusion of metatarsals	None
Fusion of the long bones of the feet	None
Synostosis involving metatarsal bones	None
Metatarsal synostosis	None
Lytic defects in metaphyses of the upper limbs	None
Finger overgrowth	None
Megalodactyly	None
Macrodactyly	None
Increased bone density in pinky finger bone	None
Increased bone density in little finger bone	None
Increased bone density in pinkie finger bone	None
Sclerosis of the phalanges of the 5th finger	None
Sclerosis of 5th finger phalanx	None
Exostoses of hand bones	None
Absent ossification of the humeral epiphyses	None
Absent humeral epiphyseal ossification	None
Absent maturation of end part of long bone in upper arm	None
Absent epiphyses of the middle phalanges of the hand	None
Absent end part of the middle hand bones	None
Webbed 1st-5th fingers	None
1-5 finger syndactyly	None
Tetra-amelia	None
Tetraamelia	None
Bullet-shaped innermost bone of pinky toe	None
Bullet-shaped innermost bone of little toe	None
Bullet-shaped innermost bone of pinkie toe	None
Bullet-shaped proximal phalanx of the 5th toe	None
Bracket epiphysis of the 1st metacarpal	None
Bracket shaped end part of 1st long bone of hand	None
Triangular shaped distal phalanges of the toes	None
Triangular shaped outermost bone of the toes	None
Broad phalanges of the 5th toe	None
Broad bones of the little toe	None
Broad bones of the pinkie toe	None
Broad bones of the pinky toe	None
Unequal size of arms	None
Upper limb asymmetry	None
Irregular end part of the middle bone of the 2nd toe	None
Irregular epiphysis of the middle phalanx of the 2nd toe	None
Absent middle bone of pinky toe	None
Absent middle bone of pinkie toe	None
Absent middle bone of little toe	None
Aplasia of the middle phalanx of the 5th toe	None
Curvature of 3rd toe	None
Clinodactyly of the 3rd toe	None
3rd toe clinodactyly	None
Inward turned middle finger	None
Radial deviation of the 3rd finger	None
Shallow acetabula	None
Shallow acetabular fossae	None
Shallow acetabular fossa	None
Shallow acetabulum	None
Shallow acetabulae	None
Multicentric femoral head ossification	None
Aplasia/Hypoplasia of the proximal phalanx of the 5th finger	None
Absent/small innermost pinkie finger bone	None
Absent/underdeveloped innermost pinky finger bone	None
Absent/small innermost little finger bone	None
Absent/small innermost pinky finger bone	None
Weakness of long finger extensor muscles	None
Uneven increase in bone density in the outermost bone of the 4th toe	None
Patchy sclerosis of the distal phalanx of the 4th toe	None
Abnormality of the epiphysis of the distal phalanx of the hallux	None
Abnormality of the end part of the outermost bone of the big toe bone	None
Aplasia of the proximal phalanx of the 4th toe	None
Absent innermost bone of the 4th toe	None
Abnormality of end part of thumb innermost long bone	None
Abnormality of the epiphysis of the proximal phalanx of the thumb	None
Bullet-shaped 3rd toe phalanx	None
Bullet-shaped phalanges of the 3rd toe	None
Bullet-shaped bones of 3rd toe	None
Palmoplantar keratosis with erythema and scale	None
Enlarged epiphysis of the proximal phalanx of the 3rd toe	None
Enlarged end part of the innermost bone of the 3rd toe	None
Bracket epiphysis of the distal phalanx of the 4th finger	None
Bracket shaped end part of the outermost bone of the ring finger	None
Absent bones of the lower limbs	None
Aplasia involving bones of the lower limbs	None
Spurred radial metaphysis	None
Uneven increase in bone density in the outermost bone of the 2nd toe	None
Patchy sclerosis of the distal phalanx of the 2nd toe	None
Dislocated elbows on both sides	None
Bilateral elbow dislocations	None
Cone-shaped end part of the innermost hand bones	None
Cone-shaped epiphyses of the proximal phalanges of the hand	None
Duplication of the proximal phalanx of the thumb	None
Notched innermost bone of thumb	None
Partial/complete duplication of the proximal phalanx of the thumb	None
Fused innermost bones of 4th toe	None
Symphalangism affecting the proximal phalanx of the 4th toe	None
Hypotrophy of the small hand muscles	None
Degeneration of small hand muscles	None
Partial duplication of the proximal phalanx of the 4th toe	None
Partial duplication of the innermost bone of 4th toe	None
Abnormality of the humeral epiphyses	None
Abnormality of the humeral epiphysis	None
Abnormality of end part of the long bone of the upper arm	None
Contracture of the metacarpophalangeal joint of the 5th finger	None
Humeral oval transradiancy	None
Oval transradiancy of humerus	None
Absent end part of the 3rd toe	None
Absent epiphyses of the 3rd toe	None
Abnormality of the trapezoid bone	None
Distal femoral metaphyseal irregularity	None
Irregular distal femoral metaphyses	None
Triangular shaped phalanges of the hallux	None
Triangular shaped bones of big toe	None
Cone-shaped end part of the 2nd toe bone	None
Cone-shaped epiphyses of the 2nd toe	None
Excess nuchal skin	None
Thickened skin folds of neck	None
Thickened skin over the neck	None
Increased nuchal fold thickness	None
Thickened nuchal skin fold	None
Thickened nuchal skin	None
Abnormalities of placenta or umbilical cord	None
Only one artery in umbilical cord instead of two	None
2 vessel cord	None
Single umbilical artery	None
Two vessel umbilical cord	None
