Abnormality of the breast	HP:0000769
Increased bone density in the middle bone of the pinky finger	None
Ivory epiphyses of the hallux	None
Increased bone density of end part of the big toe bone	None
Partial-complete absence of 5th phalanges	None
Partial-complete absence of 5th digital bone	None
Aplasia of the 5th metacarpal	None
Absent 5th long bone of hand	None
Absent 5th metacarpal	None
Small end part of the pinky toe bone	None
Small end part of the pinkie toe bone	None
Small epiphyses of the 5th toe	None
Small end part of the little toe bone	None
Fragmentation of the epiphysis of the middle phalanx of the 3rd toe	None
Fragmentation of the end part of the middle bone of the 3rd toe	None
Curved distal phalanx of the 3rd finger	None
Curved outermost bone of the 3rd finger	None
Constricted radial neck	None
Increased bone density in the 1st long bone of foot	None
Sclerosis of the 1st metatarsal	None
Accelerated maturation of hand bones	None
Advanced maturation of the hand bones	None
Advanced ossification of the hand bones	None
Bullet-shaped toe bone	None
Bullet-shaped phalanges of the toes	None
Bullet-shaped toe phalanx	None
Quadriceps muscle atrophy	None
Wasting of quad muscles	None
Slender long bone of upper arm	None
Slender humerus	None
Cone-shaped end part of the innermost bone of the 4th toe	None
Cone-shaped epiphysis of the proximal phalanx of the 4th toe	None
Bilateral camptodactyly	None
Abnormality of the distal femoral epiphysis	None
Abnormality of the end part of the outermost thighbone	None
Stippling of the epiphyses of the phalanges of the hand	None
Epiphyseal stippling of finger phalanges	None
Stippling of the epiphyses of the fingers	None
Speckled calcifications in end part of finger bones	None
Flattened radial head	None
Metaphyseal abnormality of the upper limbs	None
Abnormality of the wide portion of upper limb bone	None
Abnormality of upper limb metaphysis	None
Incorrect alignment of wrist bone	None
Malaligned carpal bone	None
Broad femoral metaphyses	None
Broad wide portion of thigh bone	None
Absent ossification of the humeral epiphyses	None
Absent humeral epiphyseal ossification	None
Absent maturation of end part of long bone in upper arm	None
Uneven increase in bone density in pinkie finger bone	None
Patchy sclerosis of the phalanges of the 5th finger	None
Uneven increase in bone density in little finger bone	None
Uneven increase in bone density in pinky finger bone	None
Patchy sclerosis of 5th finger phalanx	None
Shoulder muscle hypoplasia	None
Underdeveloped shoulder muscle	None
Large radial epiphyses	None
Absent/underdeveloped thumb bones	None
Aplasia/Hypoplasia of the phalanges of the thumb	None
Absent/small thumb bones	None
Overlapping fingers	None
Interphalangeal joint flexion contractures	None
Interphalangeal joint contracture of finger	None
Small epiphysis of the middle phalanx of the 5th finger	None
Small end part of the middle bone of the pinky finger	None
Small end part of the middle bone of the pinkie finger	None
Small end part of the middle bone of the little finger	None
Small end part of middle finger bone	None
Small epiphyses of the 3rd finger	None
Distal/middle symphalangism of 3rd finger	None
Symphalangism of the distal and middle phalanges of the 3rd finger	None
Fused outermost and middle bones of middle finger	None
Duplication of the middle little finger bone	None
Duplication of the middle pinkie finger bone	None
Duplication of the middle phalanx of the 5th finger	None
Duplication of the middle pinky finger bone	None
Partial/complete duplication of the middle phalanx of the 5th finger	None
Short fourth metatarsals	None
Short fourth metatarsal	None
Short fourth metatarsus	None
Bilateral fourth metatarsal shortening	None
Short 4th long bone of foot	None
Short humerus	None
Short upper arms	None
Short long bone of upper arm	None
Humeral shortening	None
Hypoplastic humerus	None
Humeral hypoplasia	None
Short humeri	None
Fused innermost bone of index finger with 2nd long bone of hand	None
Symphalangism of the proximal phalanx of the 2nd finger with the 2nd metacarpal	None
Absent innermost bone of pinky finger	None
Absent innermost bone of pinkie finger	None
Absent innermost bone of little finger	None
Aplasia of the proximal phalanx of the 5th finger	None
Hypoplasia of proximal fibula	None
Underdeveloped innermost upper end of calf bone	None
Small innermost upper end of calf bone	None
Flared wide portion of elbow bone	None
Flared elbow metaphyses	None
Curved middle bone of pinky finger	None
Curved middle phalanx of the 5th finger	None
Curved middle bone of pinkie finger	None
Curved middle bone of little finger	None
Double-layered patella	None
Abnormality of the end part of the 3rd toe bone	None
Abnormality of the epiphyses of the 3rd toe	None
Stippling of the epiphysis of the distal phalanx of the 3rd toe	None
Speckled calcifications in the end part of the outermost bone of the 3rd toe	None
Undermodelled forearm bones	None
Bracket shaped end part of the outermost bone of the index finger	None
Bracket epiphysis of the distal phalanx of the 2nd finger	None
Bracket epiphysis of the proximal phalanx of the hallux	None
Bracket shaped end part of the innermost bone of big toe	None
Osteolytic defects of the proximal phalanx of the 4th finger	None
Webbed 1st-2nd toes	None
1-2 toe complete cutaneous syndactyly	None
Irregular end part of the pinky toe bone	None
Irregular end part of the little toe bone	None
Irregular end part of the pinkie toe bone	None
Irregular epiphyses of the 5th toe	None
Y-shaped central long bones of hand	None
Central Y-shaped metacarpal	None
Abnormality of the epiphysis of the distal phalanx of the 4th toe	None
Abnormality of the end part of the outermost bone of the 4th toe	None
Enlarged end part of the innermost bone of the big toe	None
Enlarged epiphysis of the proximal phalanx of the hallux	None
Complete duplication of the little finger bone	None
Complete duplication of the phalanges of the 5th finger	None
Complete duplication of the pinky finger bone	None
Complete duplication of the pinkie finger bone	None
Cone-shaped epiphyses of the distal phalanges of the hand	None
Cone-shaped end part of the outermost hand bones	None
Triangular shaped 1st metatarsal	None
Triangular shaped 1st long bone of foot	None
Fusion involving the 2nd long bone of hand	None
Synostosis involving the 2nd metacarpal	None
Talipes cavus equinovarus	None
Speckled calcifications in end part of innermost long bone of upper arm	None
Stippled calcification proximal humeral epiphyses	None
Contracture of the metatarsophalangeal joint of the 4th toe	None
Cutaneous syndactyly between fingers 2 and 5	None
Increased bone density in the middle bone of the index finger	None
Sclerosis of the middle phalanx of the 2nd finger	None
Ivory epiphyses of the 4th toe	None
Increased bone density of end part of the 4th toe bone	None
Hypoplasia of the ulna	None
Underdeveloped ulna	None
Underdeveloped inner large forearm bone	None
Ulnar hypoplasia	None
Hypoplastic ulna	None
Short ulna	None
Short ulnae	None
Absent distal interphalangeal creases	None
Absence of skin creases over distal interphalangeal joints	None
Aplasia of the distal interphalangeal creases	None
Distal finger flexion creases absent	None
Bullet-shaped middle bone of middle finger	None
Bullet-shaped middle phalanx of the 3rd finger	None
Aplasia/hypoplasia of the femur	None
Absent/small thighbone	None
Absent/underdeveloped thighbone	None
Hypoplastic to absent femora	None
Hypoplastic/aplastic femora	None
Knee osteoarthritis	None
Abnormality of the fingertips	None
Abnormal fingertip morphology	None
Abnormality of the radius	None
Aplasia/Hypoplasia of the biceps	None
Absent/small biceps	None
Absent/underdeveloped biceps	None
Bilateral postaxial polydactyly	None
Dysplasia of the femoral head	None
Dysplastic femoral head	None
Abnormality of femoral head development	None
Partial duplication of the proximal phalanges of the hand	None
Partial duplication of the innermost bones of the hand	None
Abnormality of the epiphysis of the 1st metatarsal	None
Abnormality of the end part of the 1st long bone of foot	None
Cortical subperiosteal resorption of humeral metaphyses	None
Abnormality of the femoral metaphysis	None
Abnormality of the wide portion of the femoral bone	None
Bracket shaped end part of the innermost bone of the pinky toe	None
Bracket shaped end part of the innermost bone of the pinkie toe	None
Bracket shaped end part of the innermost bone of the little toe	None
Bracket epiphysis of the proximal phalanx of the 5th toe	None
Distal tapering of metatarsals	None
Hyporeflexia of upper limbs	None
Sloping radial epiphyses	None
3-5 finger syndactyly	None
Webbed third, fourth and fifth toes	None
Premature fusion of end part of digital bone	None
Premature fusion of phalangeal epiphyses	None
Absent/underdeveloped ankle bone	None
Absent/small ankle bone	None
Aplastic/hypoplastic tarsals	None
Aplasia/Hypoplasia of the tarsal bones	None
Scapular muscle atrophy	None
Uneven increase in bone density in the outermost little toe bone	None
Uneven increase in bone density in the outermost pinky toe bone	None
Patchy sclerosis of the distal phalanx of the 5th toe	None
Uneven increase in bone density in the outermost pinkie toe bone	None
Small end part of the innermost long bone of index finger	None
Small epiphysis of the middle phalanx of the 2nd finger	None
Short fourth toe proximal phalanx	None
Short proximal phalanx of the 4th toe	None
Hypoplastic/small proximal phalanx of the 4th toe	None
Short proximal phalanx of the fourth toe	None
Ivory epiphysis of the 1st metacarpal	None
Increased bone density of end part of the 1st long bone of hand	None
Corner fragments of ulnar metaphysis	None
Increased bone density in the innermost bone of the pinkie toe	None
Increased bone density in the innermost bone of the pinky toe	None
Increased bone density in the innermost bone of the little toe	None
Sclerosis of the proximal phalanx of the 5th toe	None
Absent/small middle bone of 2nd toe	None
Aplasia/Hypoplasia of the middle phalanx of the 2nd toe	None
Absent/underdeveloped middle bone of 2nd toe	None
Triangular epiphysis of the outermost bone of the thumb	None
Triangular epiphysis of the distal phalanx of the thumb	None
Triangular end part of thumb outermost bone	None
Bracket proximal epiphysis of the ring finger	None
Bracket epiphysis of the proximal phalanx of the 4th finger	None
Bracket shaped end part of the innermost bone of the ring finger	None
Hypoplastic/small distal phalanx of the 5th toe	None
Short distal phalanx of the 5th toe	None
Short outermost bone of the little toe	None
Short outermost bone of the pinky toe	None
Short distal phalanx of the fifth toe	None
Short outermost bone of the pinkie toe	None
Abnormality of the proximal radial epiphysis	None
Postaxial polydactyly	None
Postaxial hexadactyly	None
Bracket epiphysis of the middle phalanx of the 4th toe	None
Bracket shaped end part of the middle bone of the 4th toe	None
Notched outermost bone of thumb	None
Bifid thumb distal phalanx	None
Abnormal middle finger bone of the middle finger	None
Abnormality of the middle phalanx of the 3rd finger	None
Aplasia/Hypoplasia of the middle phalanx of the 3rd toe	None
Absent/small middle 3rd toe bone	None
Absent/underdeveloped middle 3rd toe bone	None
Osteolysis involving bones of the upper limbs	None
Lateral displacement of the femoral head	None
Laterally displaced femoral heads	None
Absent epiphysis of the proximal phalanx of the 2nd toe	None
Absent end part of the innermost bone of the 2nd toe	None
Small scaphoid	None
Epiphyseal stippling of the first metacarpal	None
Stippling of the epiphysis of the 1st metacarpal	None
Speckled calcifications in the end part of the first long bone of hand	None
Large hands	None
large hand	None
Disproportionately large hands	None
Contracture of the distal interphalangeal joint of the 3rd toe	None
Aplasia of the proximal phalanx of the 2nd toe	None
Absent innermost 2nd toe bone	None
Humeral oval transradiancy	None
Oval transradiancy of humerus	None
Small epiphyses of the thumb	None
Small thumb epiphysis	None
Small end part of thumb long bone	None
Contracture of the metatarsophalangeal joint of the 3rd toe	None
Absent primary metaphyseal spongiosa	None
Flared metaphysis of lower limb bone	None
Flared lower limb metaphysis	None
Fused innermost pinky toe bone with the 5th long bone of foot	None
Symphalangism of the proximal phalanx of the 5th toe with the 5th metatarsal	None
Bullet-shaped distal phalanges of the hand	None
Bullet-shaped outermost finger bone of the hand	None
Osseous syndactyly of toes	None
Osseous syndactyly of the toes	None
Complete duplication of the proximal bone of the ring finger	None
Complete duplication of the proximal phalanx of the 4th finger	None
Aplasia/Hypoplasia of the distal phalanx of the 2nd toe	None
Absent/underdeveloped outermost 2nd toe bone	None
Absent/small outermost 2nd toe bone	None
Radially deviated phalanges	None
Radial deviation of finger	None
Radially deviated fingers	None
Triangular end part of the index finger	None
Triangular epiphyses of the 2nd finger	None
Short 2nd toe bone	None
Hypoplastic/small phalanges of the 2nd toe	None
Short phalanx of the second toe	None
Short phalanx of the 2nd toe	None
Pseudoepiphysis of the proximal phalanx of the 5th toe	None
Abnormal metaphyseal vascular invasion	None
Irregular epiphysis of the middle phalanx of the 2nd finger	None
Irregular end part of the middle long bone of the index finger	None
Underdeveloped triceps	None
Triceps hypoplasia	None
Small triceps	None
Cone-shaped end part of the innermost bone of the big toe	None
Cone-shaped epiphysis of the proximal phalanx of the hallux	None
Small epiphysis of the middle phalanx of the 4th toe	None
Small end part of middle long bone of 4th toe	None
