Abnormality of taste sensation	HP:0000223
Parkinsonian tremor	HP:0002322
Resting tremor	HP:0002322
Rest tremor	HP:0002322
Anencephaly	HP:0002323
Hydrancephaly	HP:0002324
Hydranencephaly	HP:0002324
Mini stroke	HP:0002326
TIA	HP:0002326
Transient ischemic attacks	HP:0002326
Transient ischemic attack	HP:0002326
Drowsiness	HP:0002329
Sleepy	HP:0002329
Paroxysmal drowsiness	HP:0002330
Recurrent paroxysmal headache	HP:0002331
Lack of peer relationships	HP:0002332
Motor deterioration	HP:0002333
Progressive degeneration of movement	HP:0002333
Abnormality of the cerebellar vermis	HP:0002334
Agenesis of cerebellar vermis	HP:0002335
Cerebellar vermis aplasia	HP:0002335
Vermian agenesis	HP:0002335
Abnormal caudate nucleus morphology	HP:0002339
Abnormality of the caudate nucleus	HP:0002339
Caudate degeneration	HP:0002340
Caudate atrophy	HP:0002340
Cervical cord compression	HP:0002341
Cervical cord compression myelopathy	HP:0002341
Moderate mental retardation	HP:0002342
IQ between 34 and 49	HP:0002342
Moderate mental deficiency	HP:0002342
Mental retardation, moderate	HP:0002342
Intellectual disability, moderate	HP:0002342
Normal pressure hydrocephalus	HP:0002343
Normal-pressure hydrocephalus	HP:0002343
Progressive neurodegeneration	HP:0002344
Neurologic deterioration, progressive	HP:0002344
Progressive neurologic deterioration	HP:0002344
Worsening neurological symptoms	HP:0002344
Progressive mental deterioration	HP:0002344
Neurologic deterioration	HP:0002344
Ataxic tremor	HP:0002345
Action tremor	HP:0002345
Head tremor	HP:0002346
Simple partial seizure	HP:0002349
Focal aware seizure	HP:0002349
Focal seizures without impairment of consciousness or awareness	HP:0002349
Focal seizure without impairment of consciousness or awareness	HP:0002349
Simple partial seizures	HP:0002349
Focal seizure with retained awareness	HP:0002349
Focal aware seizures	HP:0002349
Cerebellar cysts	HP:0002350
Cerebellar cyst	HP:0002350
Leukoencephalopathy	HP:0002352
Abnormal electroencephalogram	HP:0002353
Electroencephalogram abnormalities	HP:0002353
EEG abnormality	HP:0002353
Abnormal EEG	HP:0002353
EEG abnormalities	HP:0002353
Electroencephalogram abnormal	HP:0002353
Forgetfulness	HP:0002354
Memory problems	HP:0002354
Memory impairment	HP:0002354
Memory loss	HP:0002354
Poor memory	HP:0002354
Walking disability	HP:0002355
Difficulty in walking	HP:0002355
Difficulty walking	HP:0002355
Writer's cramp	HP:0002356
Dysphasia	HP:0002357
Frequent falls	HP:0002359
Difficulty sleeping	HP:0002360
Sleep disturbance	HP:0002360
Trouble sleeping	HP:0002360
Sleep dysfunction	HP:0002360
Sleep disturbances	HP:0002360
Psychomotor degeneration	HP:0002361
Psychomotor deterioration	HP:0002361
Shuffling gait	HP:0002362
Shuffled walk	HP:0002362
Abnormality of brainstem morphology	HP:0002363
Abnormality of the brainstem	HP:0002363
Abnormal shape of brainstem	HP:0002363
Hypoplastic brain stem	HP:0002365
Small brainstem	HP:0002365
Underdeveloped brainstem	HP:0002365
Hypoplastic brainstem	HP:0002365
Hypoplasia of the brainstem	HP:0002365
Brainstem hypoplasia	HP:0002365
Lower motor neuron disease	HP:0002366
Lower motor neuron signs	HP:0002366
Abnormal lower motor neuron morphology	HP:0002366
Lower motor neuron manifestations	HP:0002366
Visual hallucinations	HP:0002367
Poor coordination	HP:0002370
Loss of speech	HP:0002371
Normal interictal EEG	HP:0002372
Seizures, generalized, associated with fever	HP:0002373
Febrile seizures	HP:0002373
Febrile convulsions	HP:0002373
Fever induced seizures	HP:0002373
Seizures, febrile, in early childhood	HP:0002373
Diminished movement	HP:0002374
Decreased spontaneous movements	HP:0002375
Hypokinesia	HP:0002375
Decreased spontaneous movement	HP:0002375
Decreased muscle movement	HP:0002375
Psychomotor regression, progressive	HP:0002376
Developmental regression	HP:0002376
Mental deterioration in childhood	HP:0002376
Psychomotor regression in infants	HP:0002376
Psychomotor regression beginning in infancy	HP:0002376
Loss of developmental milestones	HP:0002376
Psychomotor regression	HP:0002376
Neurodevelopmental regression	HP:0002376
tremors in hands	HP:0002378
Hand tremor	HP:0002378
Tremor of hands	HP:0002378
Tremor of hand	HP:0002378
Fasciculation	HP:0002380
Muscle twitch	HP:0002380
Muscle fasciculation	HP:0002380
Fasciculations	HP:0002380
Aphasia	HP:0002381
Loss of words	HP:0002381
Difficulty finding words	HP:0002381
Losing words	HP:0002381
Encephalitis	HP:0002383
Brain inflammation	HP:0002383
Dialeptic seizure	HP:0002384
Complex focal seizures	HP:0002384
Dyscognitive seizures	HP:0002384
Focal seizures with impairment of consciousness or awareness	HP:0002384
Focal impaired awareness seizure	HP:0002384
Focal impaired awareness seizures	HP:0002384
Complex partial seizures	HP:0002384
Paraparesis	HP:0002385
Partial paralysis of legs	HP:0002385
Persistent cavum septum pellucidum	HP:0002389
Widened cavum septum pellucidum	HP:0002389
Large cavum septi pellucidi	HP:0002389
Cavum septum pellucidum	HP:0002389
Spinal arteriovenous malformation	HP:0002390
EEG: spike and multispike waves, 3-4 hz	HP:0002392
EEG with polyspike wave complexes	HP:0002392
Hyperreflexia in lower limbs	HP:0002395
Leg hyperreflexia	HP:0002395
Overactive lower leg reflex	HP:0002395
Increased deep tendon reflexes in the lower limbs	HP:0002395
Lower limb hyperreflexia	HP:0002395
Brisk lower extremity reflexes	HP:0002395
Hyperreflexia in the lower limbs	HP:0002395
Cogwheel rigidity	HP:0002396
Degeneration of alpha-motor neurons in anterior horn cells of the spinal cord	HP:0002398
Anterior horn cell loss	HP:0002398
Degeneration of spinal cord anterior horn cells	HP:0002398
Spinal cord anterior horn cell degeneration	HP:0002398
Progressive loss of anterior horn cells	HP:0002398
Loss of spinal cord anterior horn cells	HP:0002398
Degeneration of anterior horn cells	HP:0002398
Stroke-like episodes	HP:0002401
Strokelike episodes	HP:0002401
Stroke-like episode	HP:0002401
Positive Romberg sign	HP:0002403
Thickened superior cerebellar peduncle	HP:0002404
Thick cerebellar peduncles	HP:0002404
Limb dysmetria	HP:0002406
Uncoordinated limb movement	HP:0002406
Cerebral arteriovenous malformation	HP:0002408
Cerebral AV malformation	HP:0002408
Aqueductal stenosis	HP:0002410
Narrowing of aqueduct of Sylvius	HP:0002410
Aqueduct stenosis	HP:0002410
Aqueduct of Sylvius stenosis	HP:0002410
Myokymia	HP:0002411
Spina bifida	HP:0002414
Split spine	HP:0002414
Degeneration of white matter of brain	HP:0002415
Leukodystrophy	HP:0002415
Subependymal cysts	HP:0002416
Abnormality of the mesencephalon	HP:0002418
Abnormality of midbrain morphology	HP:0002418
Abnormal shape of midbrain	HP:0002418
Abnormality of the midbrain	HP:0002418
Molar tooth sign	HP:0002419
Molar tooth sign on MRI	HP:0002419
'molar tooth' sign on imaging	HP:0002419
'molar tooth sign' on brain imaging'	HP:0002419
Long tract signs	HP:0002423
Long-tract signs	HP:0002423
Anarthria	HP:0002425
Loss of articulate speech	HP:0002425
Expressive aphasia	HP:0002427
Motor aphasia	HP:0002427
Broca's aphasia	HP:0002427
Loss of expressive speech	HP:0002427
Meningocele	HP:0002435
Occipital meningocele	HP:0002436
Cerebellar malformation	HP:0002438
Frontolimbic dementia	HP:0002439
Dyscalculia	HP:0002442
Difficulty making arithmetical calculations	HP:0002442
Hypothalamic hamartoma	HP:0002444
Quadriplegia	HP:0002445
Paralysis of all four limbs	HP:0002445
Tetraplegia	HP:0002445
Astrocytosis	HP:0002446
Increase in astrocyte number	HP:0002446
Progressive encephalopathy	HP:0002448
Progressive brain disease	HP:0002448
Abnormal shape of motor neuron	HP:0002450
Abnormal motor neuron morphology	HP:0002450
Limb dystonia	HP:0002451
Abnormal globus pallidus morphology	HP:0002453
Eye of the tiger anomaly of globus pallidus	HP:0002454
Abnormal head movements	HP:0002457
Dense calcifications in the cerebellar dentate nucleus	HP:0002461
Language disorder	HP:0002463
Language impairment	HP:0002463
Spastic dysarthria	HP:0002464
Rigid dysarthria	HP:0002464
Problems speaking	HP:0002465
Poor speech	HP:0002465
Difficulty speaking	HP:0002465
Nonprogressive cerebellar ataxia	HP:0002470
Decreased volume of cerebral cortex	HP:0002472
Small cerebral cortex	HP:0002472
Communication delay	HP:0002474
Expressive language delay	HP:0002474
Deficit in expressive language	HP:0002474
Spina bifida cystica	HP:0002475
Meningomyelocele	HP:0002475
Myelomeningocele	HP:0002475
Primitive reflexes	HP:0002476
Archaic reflex	HP:0002476
Primitive reflex	HP:0002476
Progressive spastic quadriparesis	HP:0002478
Progressive spastic quadriplegia	HP:0002478
Hepatic encephalopathy	HP:0002480
Bulbar signs	HP:0002483
Hyperkinesia	HP:0002487
Hyperkinesis	HP:0002487
Muscle spasms	HP:0002487
Hyperkinetic movements	HP:0002487
Increased CSF lactic acid	HP:0002490
Increased cerebrospinal fluid lactate	HP:0002490
Hyperlactatorachia	HP:0002490
Increased CSF lactate	HP:0002490
Spasticity of facial muscles	HP:0002491
Spasticity of the facial muscles	HP:0002491
Increased stiffness of facial muscles	HP:0002491
Increased tone of facial muscles	HP:0002491
Involvement of the corticospinal pathways	HP:0002492
Abnormality of the corticospinal tract	HP:0002492
Upper motor neuron dysfunction	HP:0002493
Pyramidal tract dysfunction	HP:0002493
Corticospinal tract dysfunction	HP:0002493
Abnormal rapid eye movement sleep	HP:0002494
Abnormal REM sleep	HP:0002494
Impaired vibratory sense	HP:0002495
Decreased vibratory sense	HP:0002495
Decreased vibration sense	HP:0002495
Diminished vibratory sense	HP:0002495
Impaired vibratory sensation	HP:0002495
Spastic ataxia	HP:0002497
Leukoaraiosis	HP:0002500
Cortical white matter abnormalities seen on MRI	HP:0002500
Cerebral white matter abnormalities	HP:0002500
Abnormality of subcortical white matter	HP:0002500
White matter abnormalities	HP:0002500
Abnormality of the cerebral white matter	HP:0002500
White matter alterations	HP:0002500
Spasticity of pharyngeal muscles	HP:0002501
Degeneration of the spinocerebellar tracts	HP:0002503
Spinocerebellar tract degeneration	HP:0002503
Spinocerebellar degeneration	HP:0002503
Calcification of the small brain vessels	HP:0002504
Progressive inability to walk	HP:0002505
Cerebral atrophy, diffuse	HP:0002506
Diffuse cerebral atrophy	HP:0002506
Semilobar holoprosencephaly	HP:0002507
Brainstem hypoplasia/dysplasia	HP:0002508
Malformation of brainstem structures	HP:0002508
Brainstem dysplasia	HP:0002508
Increased muscle tone of arm or leg	HP:0002509
Limb hypertonia	HP:0002509
Spastic quadriplegia	HP:0002510
Spastic tetraplegia	HP:0002510
Alzheimer disease	HP:0002511
Late-onset form of familial Alzheimer disease	HP:0002511
Brain stem compression	HP:0002512
Cerebral calcification	HP:0002514
Abnormal deposits of calcium in the brain	HP:0002514
Intracerebral calcifications	HP:0002514
Intracranial calcifications	HP:0002514
Brain calcification	HP:0002514
Intracranial calcification	HP:0002514
Waddling gait	HP:0002515
'Waddling' gait	HP:0002515
Waddling walk	HP:0002515
Intracranial hypertension	HP:0002516
Intracranial pressure elevation	HP:0002516
Increased intracranial pressure	HP:0002516
Rise in pressure inside skull	HP:0002516
Periventricular white matter abnormalities	HP:0002518
Abnormality of the periventricular white matter	HP:0002518
Hypnagogic hallucinations	HP:0002519
Hypsarrhythmia	HP:0002521
Hypsarrhythmia by EEG	HP:0002521
Areflexia in lower limbs	HP:0002522
Areflexia of lower limbs	HP:0002522
Areflexia of the lower limbs	HP:0002522
Areflexia, lower limbs	HP:0002522
Absent lower limb tendon reflexes	HP:0002522
Cataplexy	HP:0002524
Deficit in nonword repetition	HP:0002526
Falls	HP:0002527
Granulovacuolar degeneration	HP:0002528
Neuronal loss	HP:0002529
Neuronal loss in central nervous system	HP:0002529
Loss of brain cells	HP:0002529
Neuronal loss in CNS	HP:0002529
Axial dystonia	HP:0002530
Abnormal posturing	HP:0002533
Abnormal gyration	HP:0002536
Cerebral gyral anomalies	HP:0002536
Abnormal cortical gyration	HP:0002536
Abnormality of the cerebral cortex	HP:0002538
Cortical dysplasia	HP:0002539
Neocortical dysplasia	HP:0002539
Inability to walk	HP:0002540
Non-ambulatory	HP:0002540
Olivopontocerebellar atrophy	HP:0002542
Olivopontocerebellar degeneration	HP:0002542
Retrocollis	HP:0002544
Patchy demyelination of subcortical white matter	HP:0002545
Incomprehensible speech	HP:0002546
Parkinsonism with favorable response to dopaminergic medication	HP:0002548
Favorable response to levodopa	HP:0002548
Deficit in phonologic short-term memory	HP:0002549
Polyphagia	HP:0002591
Voracious appetite	HP:0002591
Hyperphagia	HP:0002591
Increased appetite	HP:0002591
Head titubation	HP:0002599
Hyporeflexia/areflexia in lower limbs	HP:0002600
Hyporeflexia, lower limbs	HP:0002600
Hyporeflexia of lower limbs	HP:0002600
Hyporeflexia of the lower limbs	HP:0002600
Hyporeflexia in lower limbs	HP:0002600
Cerebrovascular ischemia	HP:0002637
Brain ischemia	HP:0002637
Cerebral ischemia	HP:0002637
Disruption of blood oxygen supply to brain	HP:0002637
Painless fractures due to injury	HP:0002661
Chromaffin tumors	HP:0002666
Pheochromocytoma	HP:0002666
Paragangliomas	HP:0002668
Paraganglioma	HP:0002668
Carotid body tumors	HP:0002668
Meningioma	HP:0002858
Noncancerous growth of membranes covering brain	HP:0002858
Paragangliomas, head and neck	HP:0002864
Paraganglioma of head and neck	HP:0002864
Obstructive sleep apnea	HP:0002870
Obstructive sleep apnoea	HP:0002870
Medulloblastoma	HP:0002885
Vagal nerve tumors	HP:0002886
Glomus vagale tumor	HP:0002886
Vagal paraganglioma	HP:0002886
Glomus vagale paraganglioma	HP:0002886
Ependymoma	HP:0002888
Noncancerous tumor in pituitary gland	HP:0002893
Pituitary adenoma	HP:0002893
Abnormality of the cerebrospinal fluid	HP:0002921
Abnormality of the CSF	HP:0002921
Abnormal CSF findings	HP:0002921
Elevated cerebrospinal fluid protein	HP:0002922
Increased CSF protein	HP:0002922
Elevated csf protein	HP:0002922
Cerebrospinal fluid with increased protein	HP:0002922
Hyperproteinorrhachia	HP:0002922
Spinal fluid protein elevated	HP:0002922
Cerebrospinal fluid protein increased	HP:0002922
Increased protein in csf	HP:0002922
High TSH	HP:0002925
Increased thyrotropin level	HP:0002925
TSH excess	HP:0002925
Thyroid-stimulating hormone excess	HP:0002925
Elevated thyroid stimulating hormone	HP:0002925
Elevated thyroid stimulating hormone levels	HP:0002925
Increased thyroid-stimulating hormone	HP:0002925
Increased thyroid-stimulating hormone level	HP:0002925
Increased serum thyroid-stimulating hormone	HP:0002925
Distal sensation loss	HP:0002936
Distal sensory impairment of the lower extremities	HP:0002936
Loss of distal sensation	HP:0002936
Distal sensory loss, upper and lower limbs	HP:0002936
Decreased distal sensation	HP:0002936
Decreased sensation in extremities	HP:0002936
Distal sensory impairment	HP:0002936
Distal sensory loss	HP:0002936
Distal sensory impairment in lower limbs	HP:0002936
Partial absence of cerebellar vermis	HP:0002951
Aplasia/Hypoplasia involving the central nervous system	HP:0002977
Absent/underdeveloped central nervous system tissue	HP:0002977
Aplasia/Hypoplasia involving the CNS	HP:0002977
Glomus jugulare tumors	HP:0003001
Glomus jugular tumor	HP:0003001
Glomus jugulare tumor	HP:0003001
Ganglioneuroma	HP:0003005
Neuroblastoma	HP:0003006
Cancer of early nerve cells	HP:0003006
Enhanced neurotoxicity of vincristine	HP:0003009
Trophic limb changes	HP:0003091
Abnormal peripheral myelination	HP:0003130
Abnormality of the spinocerebellar tracts	HP:0003133
Abnormality of peripheral nerve conduction	HP:0003134
Sensory and motor nerve conduction abnormalities	HP:0003134
Abnormal peripheral nerve transmission	HP:0003134
Hypothalamic gonadotropin-releasing hormone deficiency	HP:0003164
Hypothalamic GNRH deficiency	HP:0003164
Sudanophilic leukodystrophy	HP:0003269
Spina bifida occulta	HP:0003298
Steppage gait	HP:0003376
'steppage' gait	HP:0003376
High stepping	HP:0003376
Axon degeneration and regeneration	HP:0003378
Axonal degeneration/regeneration	HP:0003378
Decreased number of peripheral myelinated nerve fibers	HP:0003380
Loss of myelinated fibers	HP:0003380
Decreased number of large and small myelinated fibers	HP:0003380
Hypertrophic nerve changes	HP:0003382
'Onion bulb' formations	HP:0003383
Onion bulb formation	HP:0003383
Onion bulb formations	HP:0003383
Peripheral axonal atrophy	HP:0003384
Loss of larger myelinated nerve fibers	HP:0003387
Decreased number of large peripheral myelinated nerve fibers	HP:0003387
Loss of large myelinated fibers	HP:0003387
Depletion of large myelinated fibers	HP:0003387
Easy fatigability	HP:0003388
Tired easily	HP:0003388
Peripheral sensory axonal neuropathy	HP:0003390
Sensory axonal neuropathy	HP:0003390
Axonal sensory neuropathy	HP:0003390
Syringomyelia	HP:0003396
Fluid-filled cyst in spinal cord	HP:0003396
Syrinx	HP:0003396
Generalized hypotonia due to defect at the neuromuscular junction	HP:0003397
Abnormal synaptic transmission at the neuromuscular junction	HP:0003398
Abnormality of neuromuscular transmission	HP:0003398
Basal lamina onion bulb formation	HP:0003400
Basal lamina 'onion bulb' formations on nerve biopsy	HP:0003400
